Project number,Lot,Supplier,Deliverable,MGR BE Number,Location,Resource,Contractors Name,CW,Work Description (e.g. Roof Works),Year,Date Received,Date Reviewed,Duration between receipt/review,Status (Authorised or Rejected with amendments Req),Has been authorised eventually?,Invoiced to MGR?,Comments,Work Stream
55956794,0,KR Analytics Ltd,MARS Review,26.32.13.34,BN27 1JH,Brayden Giles,Arc Ltd,No,Air Conditioning Installations,3,2023-04-28,2023-05-06,"8 days, 0:00:00",Authorised,N/A,Yes,xfkby,WS3
84833161,3,KR Analytics Ltd,MARS Review,46.46.53.46,CF1 3RY,Kenny Merritt,Aboard Service Ltd,Yes,Asbestos Survey,3,2023-12-19,2023-12-29,"10 days, 0:00:00",Rejected,Yes,No,rqhbq,WS3
80206052,0,KR Analytics Ltd,MARS Review,34.22.42.24,G51 2AW,Alfredo Holmes,Epiphany Ltd,Yes,Fall Protection Inspection,3,2023-09-18,2023-09-23,"5 days, 0:00:00",Rejected,No,No,bssdo,WS3
36376644,3,KR Analytics Ltd,MARS Review,44.21.62.15,BT93 5FG,Cassius Mullins,DASDA Ltd,No,Air Conditioning Installations,3,2024-01-13,2024-01-19,"6 days, 0:00:00",Rejected,Yes,No,oufhq,WS1
68333918,3,KR Analytics Ltd,MARS Review,15.66.14.34,BT23 8DZ,Chelsea Huber,German Ltd,Yes,Vent Repairs,3,2023-06-29,2023-07-10,"11 days, 0:00:00",Rejected,No,No,exuhd,WS1
05548011,2,KR Analytics Ltd,MARS Review,52.22.61.14,B60 2HR,Brayden Giles,Centurion Ltd,Yes,General Inspection,3,2023-11-02,2023-11-13,"11 days, 0:00:00",Rejected,No,No,wkjzw,WS3
17367281,3,KR Analytics Ltd,MARS Review,43.31.56.64,AB2 3JY,Kenny Merritt,Arc Ltd,No,Other Repairs,3,2023-12-16,2023-12-19,"3 days, 0:00:00",Authorised,N/A,Yes,tpere,WS1
50216765,4,KR Analytics Ltd,MARS Review,42.21.25.25,AB4 4SQ,Tate Benjamin,Arc Ltd,Yes,Air Conditioning Installations,3,2023-06-17,2023-06-25,"8 days, 0:00:00",Authorised,N/A,Yes,cgsoj,WS1
40836850,0,KR Analytics Ltd,MARS Review,33.62.42.36,CW9 7LG,Brayden Giles,MEKOS Ltd,Yes,Air Conditioning Installations,3,2023-09-24,2023-10-03,"9 days, 0:00:00",Rejected,No,No,gnwiy,WS3
16218131,4,KR Analytics Ltd,MARS Review,66.55.14.25,CM23 3LT,Brayden Giles,Caledonian Ltd,Yes,Roof repair,3,2023-09-18,2023-09-30,"12 days, 0:00:00",Authorised,N/A,Yes,ijxtv,WS3
96788962,4,KR Analytics Ltd,MARS Review,12.26.64.54,DH6 4DL,Chelsea Huber,German Ltd,Yes,Fall Protection Inspection,3,2023-05-01,2023-05-04,"3 days, 0:00:00",Rejected,No,No,kdbog,WS3
76984180,4,KR Analytics Ltd,MARS Review,25.44.16.15,G40 4JA,Tate Benjamin,Epiphany Ltd,No,Vent Repairs,3,2023-11-06,2023-11-09,"3 days, 0:00:00",Rejected,Yes,No,nekxf,WS3
16954518,2,KR Analytics Ltd,MARS Review,53.62.14.61,EC4R 0ES,Cassius Mullins,Aboard Service Ltd,No,Asbestos Survey,3,2023-12-16,2023-12-25,"9 days, 0:00:00",Authorised,N/A,Yes,rjcev,WS3
33161745,3,KR Analytics Ltd,MARS Review,44.36.14.23,E1 6LB,Chelsea Huber,Centurion Ltd,No,Asbestos Survey,3,2023-07-25,2023-08-03,"9 days, 0:00:00",Authorised,N/A,Yes,eajoq,WS3
39692580,4,KR Analytics Ltd,MARS Review,31.34.21.62,BS3 4AQ,Kenny Merritt,MEKOS Ltd,Yes,Air Conditioning Installations,3,2024-02-02,2024-02-16,"14 days, 0:00:00",Authorised,N/A,Yes,lvfxq,WS1
82546644,3,KR Analytics Ltd,MARS Review,62.16.63.52,G61 2AF,Annabel Beasley,Aboard Service Ltd,Yes,Vent Repairs,3,2023-12-31,2024-01-14,"14 days, 0:00:00",Rejected,No,No,unguv,WS3
84124290,0,KR Analytics Ltd,MARS Review,14.35.15.35,B27 6DB,Brayden Giles,Elixir Ltd,No,Bird Netting Repair,3,2024-03-01,2024-03-15,"14 days, 0:00:00",Rejected,Yes,No,mxort,WS3
41438180,1,KR Analytics Ltd,MARS Review,16.13.12.66,G20 8UB,Kenny Merritt,DASDA Ltd,No,Asbestos Survey,3,2023-12-31,2024-01-01,"1 day, 0:00:00",Authorised,N/A,Yes,shosd,WS1
89323507,3,KR Analytics Ltd,MARS Review,23.33.22.65,G84 8HR,Brayden Giles,Caledonian Ltd,No,Other Repairs,3,2023-04-07,2023-04-20,"13 days, 0:00:00",Authorised,N/A,Yes,qgfbj,WS1
14553137,4,KR Analytics Ltd,MARS Review,13.53.31.26,GU21 2EQ,Brayden Giles,DASDA Ltd,No,Heating Installations,3,2023-08-09,2023-08-17,"8 days, 0:00:00",Rejected,No,No,ueexs,WS1
56277190,0,KR Analytics Ltd,MARS Review,31.45.31.56,BR3 5UD,Annabel Beasley,Aboard Service Ltd,No,Fall Protection Inspection,3,2024-03-02,2024-03-08,"6 days, 0:00:00",Authorised,N/A,Yes,bhjne,WS1
40499155,4,KR Analytics Ltd,MARS Review,35.53.66.11,EC2P 2XB,Annabel Beasley,Caledonian Ltd,Yes,Heating Installations,3,2023-11-09,2023-11-23,"14 days, 0:00:00",Authorised,N/A,Yes,euarz,WS3
80340302,3,KR Analytics Ltd,MARS Review,35.16.32.41,G73 2RA,Jazmine Mathis,Arc Ltd,Yes,Other Repairs,3,2023-12-28,2024-01-03,"6 days, 0:00:00",Rejected,No,No,dqtva,WS1
15363775,3,KR Analytics Ltd,MARS Review,16.43.32.24,CM24 8SJ,Tate Benjamin,Elixir Ltd,No,Heating Installations,3,2023-08-10,2023-08-20,"10 days, 0:00:00",Authorised,N/A,Yes,yfbmh,WS1
09295647,2,KR Analytics Ltd,MARS Review,11.34.63.54,BT38 9RS,Chelsea Huber,Centurion Ltd,Yes,Air Conditioning Installations,3,2024-01-24,2024-01-25,"1 day, 0:00:00",Rejected,Yes,No,mbotg,WS1
48855031,0,KR Analytics Ltd,MARS Review,42.43.14.11,G72 7PU,Tate Benjamin,Epiphany Ltd,No,Bird Netting Repair,3,2023-11-24,2023-12-03,"9 days, 0:00:00",Authorised,N/A,Yes,dduhh,WS1
54260438,4,KR Analytics Ltd,MARS Review,43.51.45.52,GU21 2NG,Brayden Giles,Centurion Ltd,No,Other Repairs,3,2023-07-25,2023-07-29,"4 days, 0:00:00",Rejected,Yes,No,ibgqj,WS3
58547897,0,KR Analytics Ltd,MARS Review,65.63.13.54,HD8 8RB,Cora Lindsey,Elixir Ltd,Yes,Fall Protection Inspection,3,2023-11-08,2023-11-12,"4 days, 0:00:00",Rejected,Yes,No,ndjob,WS1
59407759,0,KR Analytics Ltd,MARS Review,22.63.55.51,FK9 5JF,Annabel Beasley,Caledonian Ltd,Yes,Air Conditioning Installations,3,2023-11-13,2023-11-22,"9 days, 0:00:00",Rejected,No,No,vdyfr,WS1
69660424,4,KR Analytics Ltd,MARS Review,63.41.55.55,CB2 4RB,Tate Benjamin,German Ltd,Yes,Other Repairs,3,2023-11-09,2023-11-11,"2 days, 0:00:00",Authorised,N/A,Yes,tbxiu,WS1
11387173,0,KR Analytics Ltd,MARS Review,41.35.31.11,BB5 0JS,Cora Lindsey,Elixir Ltd,No,Other Repairs,3,2023-05-16,2023-05-20,"4 days, 0:00:00",Rejected,No,No,bsblh,WS1
85014184,4,KR Analytics Ltd,MARS Review,66.13.61.21,BN5 9UE,Annabel Beasley,Arc Ltd,No,Air Conditioning Installations,3,2023-12-15,2023-12-22,"7 days, 0:00:00",Rejected,No,No,fivkn,WS3
56377711,4,KR Analytics Ltd,MARS Review,24.56.65.23,BB9 0DU,Annabel Beasley,Caledonian Ltd,No,Fall Protection Inspection,3,2023-04-30,2023-05-04,"4 days, 0:00:00",Authorised,N/A,Yes,hzeqx,WS3
39972433,2,KR Analytics Ltd,MARS Review,53.24.34.25,BL2 1EL,Annabel Beasley,Centurion Ltd,Yes,Heating Installations,3,2023-12-17,2023-12-26,"9 days, 0:00:00",Authorised,N/A,Yes,iawwy,WS1
07373397,4,KR Analytics Ltd,MARS Review,33.42.23.16,GU7 9SQ,Cora Lindsey,DASDA Ltd,Yes,Vent Repairs,3,2023-07-30,2023-07-31,"1 day, 0:00:00",Authorised,N/A,Yes,rkuis,WS1
90641772,0,KR Analytics Ltd,MARS Review,62.26.15.24,CV9 3PZ,Tate Benjamin,Epiphany Ltd,No,General Inspection,3,2023-07-16,2023-07-27,"11 days, 0:00:00",Authorised,N/A,Yes,jqpip,WS3
97865916,3,KR Analytics Ltd,MARS Review,53.22.52.24,HP15 7LY,Tate Benjamin,Arc Ltd,Yes,Vent Repairs,3,2023-06-07,2023-06-12,"5 days, 0:00:00",Rejected,Yes,No,tnvdz,WS3
45284377,0,KR Analytics Ltd,MARS Review,53.22.26.45,DL7 7DD,Kenny Merritt,MEKOS Ltd,No,Vent Repairs,3,2023-04-14,2023-04-22,"8 days, 0:00:00",Rejected,No,No,gajoq,WS3
81553673,3,KR Analytics Ltd,MARS Review,23.21.15.34,BS32 4QY,Cassius Mullins,MEKOS Ltd,Yes,Other Repairs,3,2023-12-18,2024-01-01,"14 days, 0:00:00",Rejected,Yes,No,qajtf,WS1
20758569,0,KR Analytics Ltd,MARS Review,26.25.21.43,CO12 5AA,Marcos Mcpherson,MEKOS Ltd,No,Vent Repairs,3,2024-02-04,2024-02-13,"9 days, 0:00:00",Rejected,No,No,ctwlm,WS3
68121113,2,KR Analytics Ltd,MARS Review,33.43.52.32,HA4 0TB,Cora Lindsey,MEKOS Ltd,Yes,General Inspection,3,2024-03-23,2024-03-24,"1 day, 0:00:00",Authorised,N/A,Yes,oacjf,WS3
68856485,1,KR Analytics Ltd,MARS Review,51.24.55.46,BL4 8BP,Chelsea Huber,Elixir Ltd,Yes,Vent Repairs,3,2023-08-10,2023-08-12,"2 days, 0:00:00",Rejected,Yes,No,xsnik,WS1
11319249,3,KR Analytics Ltd,MARS Review,35.13.61.16,GL1 5QN,Kenny Merritt,Centurion Ltd,Yes,Asbestos Survey,3,2023-09-12,2023-09-15,"3 days, 0:00:00",Authorised,N/A,Yes,ipmff,WS3
39751526,4,KR Analytics Ltd,MARS Review,15.12.46.66,BR3 5AZ,Alfredo Holmes,DASDA Ltd,Yes,Asbestos Survey,3,2024-02-11,2024-02-13,"2 days, 0:00:00",Authorised,N/A,Yes,hdvsr,WS3
63372730,3,KR Analytics Ltd,MARS Review,24.43.23.24,CV32 5ZG,Cora Lindsey,Aboard Service Ltd,Yes,General Inspection,3,2023-07-19,2023-07-25,"6 days, 0:00:00",Authorised,N/A,Yes,hikec,WS3
70317907,4,KR Analytics Ltd,MARS Review,33.55.55.51,CO8 5AL,Kenny Merritt,Centurion Ltd,No,Other Repairs,3,2023-06-06,2023-06-08,"2 days, 0:00:00",Rejected,Yes,No,ndrtu,WS3
26845913,1,KR Analytics Ltd,MARS Review,64.62.35.21,FK14 7PH,Kenny Merritt,Centurion Ltd,Yes,Fall Protection Inspection,3,2023-11-27,2023-11-30,"3 days, 0:00:00",Rejected,No,No,thndq,WS1
08798721,1,KR Analytics Ltd,MARS Review,43.35.55.16,BN15 9AW,Annabel Beasley,Aboard Service Ltd,Yes,Asbestos Survey,3,2023-11-28,2023-12-03,"5 days, 0:00:00",Authorised,N/A,Yes,habct,WS1
59417602,4,KR Analytics Ltd,MARS Review,44.36.51.16,DA16 2LY,Chelsea Huber,Epiphany Ltd,No,Bird Netting Repair,3,2023-06-27,2023-06-28,"1 day, 0:00:00",Rejected,No,No,ewein,WS1
17535521,3,KR Analytics Ltd,MARS Review,66.21.11.46,CM4 9RG,Alfredo Holmes,MEKOS Ltd,Yes,Fall Protection Inspection,3,2023-05-02,2023-05-13,"11 days, 0:00:00",Authorised,N/A,Yes,upoaq,WS1
51452364,1,KR Analytics Ltd,MARS Review,34.61.35.32,DN33 3LG,Tate Benjamin,Arc Ltd,Yes,Heating Installations,3,2023-06-26,2023-07-09,"13 days, 0:00:00",Rejected,Yes,No,yblks,WS1
18628123,2,KR Analytics Ltd,MARS Review,55.56.21.26,DH8 7TF,Annabel Beasley,MEKOS Ltd,No,Bird Netting Repair,3,2023-04-01,2023-04-03,"2 days, 0:00:00",Rejected,Yes,No,jfynr,WS1
79520194,3,KR Analytics Ltd,MARS Review,62.25.26.32,BB7 2GH,Marcos Mcpherson,Caledonian Ltd,No,General Inspection,3,2024-02-16,2024-02-18,"2 days, 0:00:00",Authorised,N/A,Yes,bbgto,WS3
09512376,4,KR Analytics Ltd,MARS Review,54.31.21.51,DN9 1PL,Marcos Mcpherson,Caledonian Ltd,Yes,Vent Repairs,3,2023-10-15,2023-10-29,"14 days, 0:00:00",Rejected,Yes,No,vtiur,WS3
60485668,0,KR Analytics Ltd,MARS Review,61.26.65.22,DN32 7XB,Jazmine Mathis,German Ltd,Yes,Bird Netting Repair,3,2023-08-07,2023-08-21,"14 days, 0:00:00",Authorised,N/A,Yes,cesoz,WS1
40612063,1,KR Analytics Ltd,MARS Review,14.12.16.31,EH14 5PU,Kenny Merritt,Epiphany Ltd,Yes,Bird Netting Repair,3,2023-09-01,2023-09-05,"4 days, 0:00:00",Rejected,No,No,ueswv,WS3
58252107,3,KR Analytics Ltd,MARS Review,14.31.52.24,BD6 3DJ,Annabel Beasley,Centurion Ltd,No,General Inspection,3,2023-11-08,2023-11-09,"1 day, 0:00:00",Authorised,N/A,Yes,tpqhx,WS1
98203945,3,KR Analytics Ltd,MARS Review,24.21.53.65,DE14 9SR,Annabel Beasley,Aboard Service Ltd,Yes,Vent Repairs,3,2023-04-02,2023-04-11,"9 days, 0:00:00",Authorised,N/A,Yes,auvii,WS1
98050162,3,KR Analytics Ltd,MARS Review,12.25.14.23,E4 9DB,Cassius Mullins,German Ltd,Yes,General Inspection,3,2024-01-25,2024-02-07,"13 days, 0:00:00",Authorised,N/A,Yes,pqntd,WS3
16607967,1,KR Analytics Ltd,MARS Review,15.14.66.51,HA2 9BH,Annabel Beasley,Epiphany Ltd,No,Air Conditioning Installations,3,2024-02-08,2024-02-13,"5 days, 0:00:00",Rejected,No,No,emufr,WS1
92635008,2,KR Analytics Ltd,MARS Review,63.62.32.35,G63 0PN,Brayden Giles,German Ltd,Yes,Roof repair,3,2023-11-14,2023-11-27,"13 days, 0:00:00",Rejected,Yes,No,trmfv,WS1
22127277,1,KR Analytics Ltd,MARS Review,66.41.26.63,HD9 2NL,Brayden Giles,Centurion Ltd,Yes,Bird Netting Repair,3,2023-05-26,2023-05-28,"2 days, 0:00:00",Authorised,N/A,Yes,rkhbc,WS1
09362010,4,KR Analytics Ltd,MARS Review,34.32.22.23,DT1 2SU,Kenny Merritt,Epiphany Ltd,No,Other Repairs,3,2023-11-16,2023-11-28,"12 days, 0:00:00",Rejected,Yes,No,afulz,WS3
86995325,0,KR Analytics Ltd,MARS Review,42.36.62.43,BT44 9DB,Tate Benjamin,German Ltd,No,Heating Installations,3,2024-01-21,2024-01-22,"1 day, 0:00:00",Rejected,No,No,ftohk,WS1
31709491,1,KR Analytics Ltd,MARS Review,23.31.13.63,HD4 6EU,Cora Lindsey,Centurion Ltd,Yes,Asbestos Survey,3,2023-05-19,2023-05-23,"4 days, 0:00:00",Rejected,Yes,No,jvwfi,WS3
08159485,3,KR Analytics Ltd,MARS Review,64.54.61.13,DN6 7WP,Jazmine Mathis,Centurion Ltd,Yes,General Inspection,3,2024-01-27,2024-01-31,"4 days, 0:00:00",Authorised,N/A,Yes,dgoge,WS1
93165191,4,KR Analytics Ltd,MARS Review,15.64.43.61,AB4 6JL,Tate Benjamin,DASDA Ltd,Yes,Other Repairs,3,2023-07-05,2023-07-10,"5 days, 0:00:00",Rejected,No,No,eyruc,WS3
90758765,2,KR Analytics Ltd,MARS Review,42.21.23.51,CW7 2UR,Marcos Mcpherson,Epiphany Ltd,Yes,Other Repairs,3,2023-06-10,2023-06-13,"3 days, 0:00:00",Authorised,N/A,Yes,mkcrv,WS1
50801928,0,KR Analytics Ltd,MARS Review,21.36.31.16,DD4 0HN,Marcos Mcpherson,Epiphany Ltd,Yes,Roof repair,3,2023-11-22,2023-11-26,"4 days, 0:00:00",Rejected,No,No,mzqyc,WS1
33976683,2,KR Analytics Ltd,MARS Review,61.12.36.11,AL3 5LQ,Cora Lindsey,Aboard Service Ltd,Yes,Bird Netting Repair,3,2023-07-23,2023-07-26,"3 days, 0:00:00",Authorised,N/A,Yes,oomnu,WS3
29146523,3,KR Analytics Ltd,MARS Review,55.31.25.65,CH63 7RW,Cora Lindsey,Centurion Ltd,No,Other Repairs,3,2023-04-05,2023-04-06,"1 day, 0:00:00",Authorised,N/A,Yes,apgbk,WS3
93374512,4,KR Analytics Ltd,MARS Review,16.36.31.43,BN3 1FT,Cora Lindsey,Arc Ltd,Yes,Heating Installations,3,2023-07-10,2023-07-16,"6 days, 0:00:00",Authorised,N/A,Yes,vstft,WS1
94413597,1,KR Analytics Ltd,MARS Review,35.52.56.64,HP8 4QA,Marcos Mcpherson,Epiphany Ltd,Yes,Asbestos Survey,3,2023-10-11,2023-10-14,"3 days, 0:00:00",Rejected,Yes,No,rchfw,WS3
73057985,4,KR Analytics Ltd,MARS Review,63.25.25.36,BD13 4NA,Chelsea Huber,Caledonian Ltd,No,Heating Installations,3,2023-06-06,2023-06-09,"3 days, 0:00:00",Rejected,No,No,zgwzx,WS3
44981297,1,KR Analytics Ltd,MARS Review,14.31.26.24,EX37 9QB,Jazmine Mathis,MEKOS Ltd,Yes,Bird Netting Repair,3,2023-05-12,2023-05-26,"14 days, 0:00:00",Rejected,Yes,No,usahx,WS1
31968962,2,KR Analytics Ltd,MARS Review,13.56.26.42,AB2 2DX,Chelsea Huber,DASDA Ltd,Yes,Heating Installations,3,2023-07-09,2023-07-13,"4 days, 0:00:00",Rejected,Yes,No,kwssp,WS3
84755711,4,KR Analytics Ltd,MARS Review,51.16.31.25,BS99 2DN,Cora Lindsey,Aboard Service Ltd,No,Asbestos Survey,3,2023-04-20,2023-04-22,"2 days, 0:00:00",Rejected,No,No,ugpci,WS3
79890846,0,KR Analytics Ltd,MARS Review,64.53.14.15,EX31 2EA,Annabel Beasley,Elixir Ltd,No,Asbestos Survey,3,2023-04-28,2023-05-09,"11 days, 0:00:00",Authorised,N/A,Yes,xngxt,WS3
67512157,1,KR Analytics Ltd,MARS Review,56.43.54.23,B28 9HU,Annabel Beasley,Centurion Ltd,No,Roof repair,3,2024-01-31,2024-02-03,"3 days, 0:00:00",Rejected,Yes,No,gzpsc,WS1
31329401,0,KR Analytics Ltd,MARS Review,21.65.12.54,BS15 5QZ,Cassius Mullins,Aboard Service Ltd,Yes,Vent Repairs,3,2024-01-01,2024-01-10,"9 days, 0:00:00",Authorised,N/A,Yes,nydfw,WS1
27544011,4,KR Analytics Ltd,MARS Review,46.51.41.14,EH54 7YW,Kenny Merritt,MEKOS Ltd,Yes,General Inspection,3,2023-07-26,2023-07-28,"2 days, 0:00:00",Rejected,No,No,itglv,WS1
40701496,4,KR Analytics Ltd,MARS Review,45.55.46.11,DH9 9XF,Kenny Merritt,DASDA Ltd,No,Vent Repairs,3,2023-10-26,2023-10-31,"5 days, 0:00:00",Rejected,Yes,No,umslh,WS3
97913454,3,KR Analytics Ltd,MARS Review,42.16.45.45,EH4 5JH,Marcos Mcpherson,Caledonian Ltd,Yes,Vent Repairs,3,2023-11-05,2023-11-18,"13 days, 0:00:00",Authorised,N/A,Yes,vctfm,WS1
24746540,3,KR Analytics Ltd,MARS Review,43.46.32.64,CR3 6WH,Chelsea Huber,Centurion Ltd,Yes,General Inspection,3,2024-02-23,2024-03-06,"12 days, 0:00:00",Authorised,N/A,Yes,ydlmn,WS3
50351884,4,KR Analytics Ltd,MARS Review,64.41.45.46,CA6 5SZ,Chelsea Huber,Aboard Service Ltd,No,Other Repairs,3,2024-01-06,2024-01-18,"12 days, 0:00:00",Rejected,No,No,nscsu,WS3
17721353,0,KR Analytics Ltd,MARS Review,22.11.53.41,AB14 0LQ,Alfredo Holmes,MEKOS Ltd,Yes,Vent Repairs,3,2023-10-29,2023-11-11,"13 days, 0:00:00",Authorised,N/A,Yes,xctgc,WS3
85384387,2,KR Analytics Ltd,MARS Review,63.45.46.31,GL54 3YR,Kenny Merritt,Epiphany Ltd,No,Vent Repairs,3,2023-10-07,2023-10-20,"13 days, 0:00:00",Rejected,Yes,No,zpdyv,WS1
91411706,1,KR Analytics Ltd,MARS Review,32.13.31.24,BT38 9GN,Chelsea Huber,Centurion Ltd,No,Bird Netting Repair,3,2023-05-01,2023-05-06,"5 days, 0:00:00",Authorised,N/A,Yes,amkjt,WS3
90862361,3,KR Analytics Ltd,MARS Review,31.21.66.42,DH8 5DZ,Annabel Beasley,Centurion Ltd,Yes,Asbestos Survey,3,2024-02-22,2024-03-07,"14 days, 0:00:00",Rejected,No,No,lgbby,WS3
84917792,2,KR Analytics Ltd,MARS Review,53.21.51.55,CF7 8LQ,Jazmine Mathis,Epiphany Ltd,Yes,Other Repairs,3,2023-10-04,2023-10-11,"7 days, 0:00:00",Rejected,Yes,No,znsnf,WS3
52335351,3,KR Analytics Ltd,MARS Review,22.56.22.33,BL6 9LA,Brayden Giles,German Ltd,Yes,Roof repair,3,2023-06-29,2023-07-13,"14 days, 0:00:00",Rejected,No,No,yrnzh,WS1
45031987,2,KR Analytics Ltd,MARS Review,23.24.31.26,DN37 7DF,Chelsea Huber,Arc Ltd,Yes,General Inspection,3,2023-11-27,2023-12-08,"11 days, 0:00:00",Authorised,N/A,Yes,sjyuo,WS1
36030017,0,KR Analytics Ltd,MARS Review,46.56.32.61,CR8 1WD,Tate Benjamin,German Ltd,No,Heating Installations,3,2023-10-12,2023-10-26,"14 days, 0:00:00",Rejected,Yes,No,caqqh,WS1
11863417,1,KR Analytics Ltd,MARS Review,35.11.63.15,BA12 8HH,Marcos Mcpherson,Epiphany Ltd,Yes,Air Conditioning Installations,3,2023-07-10,2023-07-20,"10 days, 0:00:00",Authorised,N/A,Yes,iohba,WS3
42982592,1,KR Analytics Ltd,MARS Review,51.26.25.22,EC1R 0NN,Marcos Mcpherson,Arc Ltd,Yes,Roof repair,3,2024-02-12,2024-02-25,"13 days, 0:00:00",Authorised,N/A,Yes,yfbll,WS3
92542916,3,KR Analytics Ltd,MARS Review,46.26.11.34,BT32 3UW,Tate Benjamin,Elixir Ltd,Yes,Bird Netting Repair,3,2023-12-31,2024-01-04,"4 days, 0:00:00",Authorised,N/A,Yes,pyoxx,WS1
54768408,3,KR Analytics Ltd,MARS Review,46.24.33.63,B33 9LX,Cassius Mullins,Caledonian Ltd,No,Fall Protection Inspection,3,2023-05-12,2023-05-17,"5 days, 0:00:00",Authorised,N/A,Yes,ftluu,WS3
72149341,0,KR Analytics Ltd,MARS Review,55.13.25.31,DT1 1RG,Cassius Mullins,DASDA Ltd,Yes,General Inspection,3,2023-10-08,2023-10-18,"10 days, 0:00:00",Rejected,Yes,No,qufxk,WS1
31171236,4,KR Analytics Ltd,MARS Review,32.36.12.53,GL20 9BT,Marcos Mcpherson,Arc Ltd,Yes,General Inspection,3,2023-06-01,2023-06-15,"14 days, 0:00:00",Rejected,No,No,htxsu,WS1
55742928,0,KR Analytics Ltd,MARS Review,43.64.21.34,CV1 3AN,Brayden Giles,DASDA Ltd,No,Vent Repairs,3,2023-09-02,2023-09-15,"13 days, 0:00:00",Authorised,N/A,Yes,kcwpf,WS3
64836400,3,KR Analytics Ltd,MARS Review,51.32.14.15,BD13 3SU,Cassius Mullins,MEKOS Ltd,No,Asbestos Survey,3,2023-05-16,2023-05-22,"6 days, 0:00:00",Rejected,Yes,No,ysamm,WS1
72035053,1,KR Analytics Ltd,MARS Review,26.12.51.45,CT7 9BY,Brayden Giles,Arc Ltd,No,General Inspection,3,2024-03-20,2024-04-01,"12 days, 0:00:00",Authorised,N/A,Yes,jycen,WS3
57845540,3,KR Analytics Ltd,MARS Review,31.42.51.56,CO11 1NJ,Tate Benjamin,German Ltd,Yes,Vent Repairs,3,2023-10-28,2023-11-08,"11 days, 0:00:00",Authorised,N/A,Yes,rtbct,WS1
28673692,3,KR Analytics Ltd,MARS Review,16.65.25.55,EC3V 4PQ,Marcos Mcpherson,Aboard Service Ltd,Yes,Heating Installations,3,2023-06-16,2023-06-26,"10 days, 0:00:00",Rejected,No,No,bdgba,WS1
22353251,2,KR Analytics Ltd,MARS Review,23.26.33.66,DA3 7DW,Marcos Mcpherson,German Ltd,No,Asbestos Survey,3,2023-04-16,2023-04-17,"1 day, 0:00:00",Rejected,Yes,No,rvnbt,WS1
89585760,1,KR Analytics Ltd,MARS Review,52.25.13.66,CM8 2AW,Annabel Beasley,MEKOS Ltd,No,Bird Netting Repair,3,2023-10-14,2023-10-22,"8 days, 0:00:00",Rejected,No,No,xpdar,WS1
17239647,3,KR Analytics Ltd,MARS Review,13.13.12.33,DA12 2BA,Annabel Beasley,DASDA Ltd,No,Air Conditioning Installations,3,2024-01-23,2024-02-06,"14 days, 0:00:00",Authorised,N/A,Yes,nzonv,WS1
43912583,3,KR Analytics Ltd,MARS Review,63.43.25.36,BS22 6LE,Tate Benjamin,DASDA Ltd,No,Roof repair,3,2023-12-22,2023-12-24,"2 days, 0:00:00",Authorised,N/A,Yes,twmbq,WS1
99549218,2,KR Analytics Ltd,MARS Review,63.36.63.23,BN2 8SF,Marcos Mcpherson,Epiphany Ltd,Yes,Fall Protection Inspection,3,2023-10-06,2023-10-18,"12 days, 0:00:00",Authorised,N/A,Yes,skzuz,WS1
37214385,1,KR Analytics Ltd,MARS Review,42.23.63.22,BT78 2NS,Marcos Mcpherson,Caledonian Ltd,No,Air Conditioning Installations,3,2023-04-03,2023-04-07,"4 days, 0:00:00",Rejected,Yes,No,rsznp,WS3
74323978,4,KR Analytics Ltd,MARS Review,43.62.55.45,DA17 5DL,Cora Lindsey,MEKOS Ltd,Yes,Bird Netting Repair,3,2023-10-22,2023-11-05,"14 days, 0:00:00",Rejected,No,No,udcdq,WS1
80694156,1,KR Analytics Ltd,MARS Review,35.33.13.62,HP17 8XA,Jazmine Mathis,Aboard Service Ltd,Yes,Other Repairs,3,2023-07-30,2023-08-05,"6 days, 0:00:00",Rejected,No,No,fasuw,WS1
01550918,3,KR Analytics Ltd,MARS Review,31.52.35.63,BT14 8GT,Kenny Merritt,Centurion Ltd,Yes,Heating Installations,3,2023-06-12,2023-06-17,"5 days, 0:00:00",Authorised,N/A,Yes,uxdut,WS3
83994763,3,KR Analytics Ltd,MARS Review,41.55.64.26,BH5 1EN,Annabel Beasley,Arc Ltd,No,Other Repairs,3,2023-08-16,2023-08-22,"6 days, 0:00:00",Authorised,N/A,Yes,jdewj,WS1
10097310,3,KR Analytics Ltd,MARS Review,56.51.45.15,HG4 3PU,Marcos Mcpherson,Elixir Ltd,No,Bird Netting Repair,3,2023-08-20,2023-08-30,"10 days, 0:00:00",Rejected,Yes,No,dizjg,WS1
88113582,4,KR Analytics Ltd,MARS Review,41.52.13.24,HP1 1UE,Cassius Mullins,Aboard Service Ltd,No,Vent Repairs,3,2023-06-25,2023-06-27,"2 days, 0:00:00",Authorised,N/A,Yes,qqvrs,WS1
98808069,4,KR Analytics Ltd,MARS Review,62.31.43.64,CO7 6BB,Cassius Mullins,Caledonian Ltd,Yes,Fall Protection Inspection,3,2023-07-19,2023-08-01,"13 days, 0:00:00",Rejected,No,No,xbhpg,WS1
40859024,3,KR Analytics Ltd,MARS Review,12.36.54.53,GL4 7XT,Jazmine Mathis,Elixir Ltd,No,Heating Installations,3,2024-01-09,2024-01-17,"8 days, 0:00:00",Rejected,Yes,No,qeqvm,WS3
